Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"Organisation identifier",4D8DF761-26E3-BA2A-7140-56D6AD444CDD,170,,58CA352E-DE50-CD54-EECC-B9D98C76ADE6,121,N,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,29,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,8D535C8F-2910-B878-51D6-91AC6852B8AC,224,"Security issue",,F,"issuer",3,,,,,
"Own Funds Requirements",A13FAC49-98E4-2898-C62F-F5C97F960141,171,,5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,115,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,66,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"OUTPUT_LAYER_FRTB",,,,14,,,,,
"Position identifier",D4F66197-8210-F400-953A-9BF4D2186F6E,172,,60687E2A-238B-B025-EF89-32711E7C2564,123,N,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,29,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,5E4E55D3-EC75-A1BC-E2A0-189E90A4ECD6,229,"Summed delta sensitivities per position and risk factor_derived",,F,"position",4,,,,,
"Position identifier",F905716C-56AA-D854-32B3-33220A5D482E,173,,7F7861A5-652D-E468-5DF9-35EEB805D06C,122,Y,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,29,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,,,"Security or exchange tradable derivative position",P,,,1,,,,,
"Position identifier",F7A033E7-52FB-25CB-1289-A5AED88A0247,174,,A4E1F026-BF8E-548C-4A9D-C0B863F89F47,117,N,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,29,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,C5D7EE96-E799-F6F8-6B9D-E05B4B34EE4A,231,"Risk measure",,F,"Relation_13",4,,,,,
"Position In The Instrument",A0A5A0B7-7C94-9420-9026-4E86E8DC9D96,175,,5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,115,N,Domain,,,,,564D03C7-873B-54EE-7F1D-0C50A602590B,17,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"Position In The Instrument",String,,,,,,,,"OUTPUT_LAYER_FRTB",,,,6,3,,,,
"Prudentia lPortfolio",A9F60D04-9772-B5E9-5FAC-1BACE8B0E43F,176,,5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,115,N,Domain,,,,,AABB0481-A808-9720-89C2-53927BCC69E2,18,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"Prudential Portfolio",String,,,,,,,,"OUTPUT_LAYER_FRTB",,,,7,3,,,,
"Ratings grade",3E34C83C-FDFE-AF02-6168-CF2D934F2A03,177,,2BCD02A6-76DC-6E84-FA25-9778097C621E,114,N,Domain,,,,,EAE9AB06-8C26-B8CC-733E-02CAD25C9CC8,19,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"Rating grade",String,,,,,,,,"Organisation",,,,2,3,,,,
"Ratings grade",5157082B-7A37-50FA-C91E-90EB65674275,178,,58CA352E-DE50-CD54-EECC-B9D98C76ADE6,121,N,Domain,,,,,EAE9AB06-8C26-B8CC-733E-02CAD25C9CC8,19,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"Rating grade",String,,,,,,,,"Security issue",,,,1,3,,,,
"Risk factor Identifier",BE7360C2-B60A-40E8-DF64-EAC51C9948A0,179,,34908E02-53E1-6647-E07D-2921F33DDF28,113,N,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,29,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,002FA71D-BBA7-E42F-5E61-D0C4C62C5D57,236,"Netted delta sensitivities per risk factor and tenor_derived",,F,"risk factorv2",9,,,,,
"Risk factor Identifier",2805CAA2-9A96-F329-1D36-49872DCC4108,180,,60687E2A-238B-B025-EF89-32711E7C2564,123,N,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,29,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,112EF312-57DB-8BFA-CE06-EAA5901D1BA9,235,"Summed delta sensitivities per position and risk factor_derived",,F,"risk factor",3,,,,,
