Logical_Type_ID,LT_Name,Native_Type,RDBMS_Type,RDBMS_Version,Has_Size,Has_Precision,Has_Scale
LOGDT026,"DECIMAL","DECIMAL",SQL Server,2000,N,Y,N,
LOGDT026,"DECIMAL","DECIMAL",DB2/390,8,N,Y,N,
LOGDT026,"DECIMAL","DECIMAL",DB2/390,7,N,Y,N,
LOGDT026,"DECIMAL","DECIMAL",DB2/UDB,9,N,Y,N,
LOGDT026,"DECIMAL","DECIMAL",DB2/UDB,8.1,N,Y,N,
LOGDT026,"DECIMAL","DECIMAL",DB2/UDB,7.1,N,Y,N,
69230305-AB6A-99EB-35A1-CC306D543604,"DECFLOAT","NUMBER",Oracle Database,21c,N,N,N,
69230305-AB6A-99EB-35A1-CC306D543604,"DECFLOAT","NUMBER",Oracle Database,12cR2,N,N,N,
69230305-AB6A-99EB-35A1-CC306D543604,"DECFLOAT","NUMBER",Oracle Database,12c,N,N,N,
69230305-AB6A-99EB-35A1-CC306D543604,"DECFLOAT","NUMBER",Oracle Database,11g,N,N,N,
69230305-AB6A-99EB-35A1-CC306D543604,"DECFLOAT","NUMBER",Oracle Database,10g,N,N,N,
69230305-AB6A-99EB-35A1-CC306D543604,"DECFLOAT","NUMBER",Oracle,9i,N,N,N,
69230305-AB6A-99EB-35A1-CC306D543604,"DECFLOAT","NUMERIC",SQL Server,2012,N,N,N,
69230305-AB6A-99EB-35A1-CC306D543604,"DECFLOAT","NUMERIC",SQL Server,2008,N,N,N,
69230305-AB6A-99EB-35A1-CC306D543604,"DECFLOAT","NUMERIC",SQL Server,2005,N,N,N,
69230305-AB6A-99EB-35A1-CC306D543604,"DECFLOAT","NUMERIC",SQL Server,2000,N,N,N,
69230305-AB6A-99EB-35A1-CC306D543604,"DECFLOAT","NUMERIC",DB2/390,8,N,N,N,
69230305-AB6A-99EB-35A1-CC306D543604,"DECFLOAT","NUMERIC",DB2/390,7,N,N,N,
69230305-AB6A-99EB-35A1-CC306D543604,"DECFLOAT","DECFLOAT",DB2/UDB,9,N,N,N,
69230305-AB6A-99EB-35A1-CC306D543604,"DECFLOAT","NUMERIC",DB2/UDB,8.1,N,N,N,
69230305-AB6A-99EB-35A1-CC306D543604,"DECFLOAT","NUMERIC",DB2/UDB,7.1,N,N,N,
LOGDT020,"DOUBLE","NUMBER",Oracle Database,21c,N,N,N,
LOGDT020,"DOUBLE","NUMBER",Oracle Database,12cR2,N,N,N,
LOGDT020,"DOUBLE","NUMBER",Oracle Database,12c,N,N,N,
LOGDT020,"DOUBLE","NUMBER",Oracle Database,11g,N,N,N,
LOGDT020,"DOUBLE","NUMBER",Oracle Database,10g,N,N,N,
LOGDT020,"DOUBLE","NUMBER",Oracle,9i,N,N,N,
LOGDT020,"DOUBLE","BIGINT",SQL Server,2012,N,N,N,
LOGDT020,"DOUBLE","BIGINT",SQL Server,2008,N,N,N,
LOGDT020,"DOUBLE","BIGINT",SQL Server,2005,N,N,N,
LOGDT020,"DOUBLE","BIGINT",SQL Server,2000,N,N,N,
LOGDT020,"DOUBLE","DOUBLE",DB2/390,8,N,N,N,
LOGDT020,"DOUBLE","DOUBLE",DB2/390,7,N,N,N,
LOGDT020,"DOUBLE","DOUBLE",DB2/UDB,9,N,N,N,
LOGDT020,"DOUBLE","DOUBLE",DB2/UDB,8.1,N,N,N,
LOGDT020,"DOUBLE","DOUBLE",DB2/UDB,7.1,N,N,N,
LOGDT021,"FLOAT","FLOAT",Oracle Database,21c,N,N,N,
LOGDT021,"FLOAT","FLOAT",Oracle Database,12cR2,N,N,N,
LOGDT021,"FLOAT","FLOAT",Oracle Database,12c,N,N,N,
LOGDT021,"FLOAT","FLOAT",Oracle Database,11g,N,N,N,
LOGDT021,"FLOAT","FLOAT",Oracle Database,10g,N,N,N,
LOGDT021,"FLOAT","FLOAT",Oracle,9i,N,N,N,
LOGDT021,"FLOAT","FLOAT",SQL Server,2012,N,N,N,
LOGDT021,"FLOAT","FLOAT",SQL Server,2008,N,N,N,
LOGDT021,"FLOAT","FLOAT",SQL Server,2005,N,N,N,
LOGDT021,"FLOAT","FLOAT",SQL Server,2000,N,N,N,
LOGDT021,"FLOAT","FLOAT",DB2/390,8,N,N,N,
LOGDT021,"FLOAT","FLOAT",DB2/390,7,N,N,N,
LOGDT021,"FLOAT","FLOAT",DB2/UDB,9,N,N,N,
LOGDT021,"FLOAT","FLOAT",DB2/UDB,8.1,N,N,N,
LOGDT021,"FLOAT","FLOAT",DB2/UDB,7.1,N,N,N,
LOGDT031,"GRAPHIC","BLOB",Oracle Database,21c,N,N,N,
LOGDT031,"GRAPHIC","BLOB",Oracle Database,12cR2,N,N,N,
LOGDT031,"GRAPHIC","BLOB",Oracle Database,12c,N,N,N,
LOGDT031,"GRAPHIC","BLOB",Oracle Database,11g,N,N,N,
LOGDT031,"GRAPHIC","BLOB",Oracle Database,10g,N,N,N,
LOGDT031,"GRAPHIC","BLOB",Oracle,9i,N,N,N,
LOGDT031,"GRAPHIC","BINARY",SQL Server,2012,Y,N,N,
LOGDT031,"GRAPHIC","BINARY",SQL Server,2008,Y,N,N,
LOGDT031,"GRAPHIC","BINARY",SQL Server,2005,Y,N,N,
LOGDT031,"GRAPHIC","BINARY",SQL Server,2000,Y,N,N,
LOGDT031,"GRAPHIC","GRAPHIC",DB2/390,8,N,N,N,
LOGDT031,"GRAPHIC","GRAPHIC",DB2/390,7,N,N,N,
LOGDT031,"GRAPHIC","GRAPHIC",DB2/UDB,9,N,N,N,
LOGDT031,"GRAPHIC","GRAPHIC",DB2/UDB,8.1,N,N,N,
